List1,List2,List3
260,47,4.0
320,7,1.0
107,52,4.0
268,41,5.0
201,179,2.0
248,55,4.0
19,4,2.0
298,42,2.0
3,0,3.0
0,0,3.0
0,5,2.0
236,52,5.0
20,5,2.0
164,122,5.0
0,1,2.0
11,0,3.0
162,120,2.0
77,55,5.0
0,0,4.0
6,2,5.0
248,217,5.0
242,55,5.0
85,74,5.0
23,2,5.0
221,187,4.0
94,42,3.0
282,45,4.0
217,41,4.0
108,34,4.0
299,7,2.0
21,4,5.0
316,0,5.0
180,55,5.0
287,45,4.0
224,2,5.0
123,49,3.0
184,6,5.0
71,74,4.0
246,41,4.0
4,2,1.0
94,49,3.0
8,5,1.0
88,61,5.0
134,6,3.0
48,6,3.0
121,7,3.0
176,42,3.0
314,2,5.0
6,3,3.0
282,227,2.0
99,7,3.0
282,221,5.0
269,17,3.0
2,0,4.0
312,246,3.0
237,55,5.0
51,2,5.0
250,2,5.0
0,2,5.0
0,0,2.0
161,7,4.0
261,7,5.0
266,2,4.0
297,41,2.0
65,54,3.0
106,52,2.0
220,41,4.0
142,7,4.0
296,7,3.0
293,235,5.0
244,42,2.0
232,41,4.0
201,143,3.0
114,70,1.0
0,7,4.0
75,41,5.0
282,223,2.0
22,0,2.0
0,0,3.0
278,41,5.0
0,1,2.0
227,41,1.0
119,34,4.0
8,1,1.0
82,45,4.0
238,2,2.0
286,52,5.0
119,41,5.0
23,3,3.0
77,85,4.0
89,36,4.0
0,1,3.0
32,33,3.0
8,0,5.0
79,6,4.0
247,42,3.0
32,35,4.0
175,7,4.0
120,41,5.0
3,4,2.0
101,41,5.0
137,55,5.0
80,42,5.0
23,2,5.0
206,45,4.0
93,67,4.0
233,45,2.0
145,6,5.0
274,0,1.0
186,6,4.0
294,6,5.0
315,55,3.0
0,0,4.0
201,100,5.0
18,6,5.0
107,45,3.0
23,2,3.0
117,45,4.0
43,52,5.0
6,0,4.0
68,218,5.0
226,41,2.0
321,41,2.0
103,45,3.0
148,53,4.0
111,67,5.0
20,7,4.0
119,7,4.0
3,0,3.0
134,41,4.0
8,0,5.0
215,41,4.0
311,104,5.0
291,42,5.0
111,6,3.0
22,6,1.0
254,45,4.0
185,1,5.0
236,7,4.0
215,2,2.0
2,2,3.0
205,52,1.0
261,6,2.0
21,5,3.0
149,6,5.0
117,74,3.0
283,42,1.0
6,0,3.0
15,0,4.0
294,2,4.0
54,41,5.0
48,74,5.0
11,1,2.0
19,1,3.0
280,7,4.0
321,0,2.0
95,60,4.0
68,81,4.0
109,55,5.0
199,55,5.0
10,7,5.0
321,45,3.0
268,201,2.0
311,217,4.0
247,55,4.0
68,11,3.0
3,0,4.0
64,42,1.0
32,41,5.0
4,7,5.0
281,6,2.0
249,6,4.0
77,86,3.0
144,41,4.0
17,0,4.0
174,55,5.0
277,7,1.0
73,7,3.0
23,5,2.0
3,0,4.0
71,17,2.0
125,65,5.0
15,7,2.0
0,4,4.0
3,6,2.0
23,7,5.0
75,50,1.0
0,2,5.0
176,55,5.0
10,7,5.0
155,103,5.0
151,46,4.0
7,7,1.0
170,42,3.0
23,1,4.0
141,114,3.0
169,77,5.0
215,6,1.0
0,5,2.0
105,7,2.0
8,3,4.0
251,45,4.0
318,2,5.0
32,44,5.0
266,55,5.0
26,11,2.0
42,55,5.0
4,2,1.0
6,5,1.0
36,50,5.0
29,17,4.0
11,0,4.0
156,7,4.0
201,144,3.0
94,45,4.0
51,7,4.0
221,38,4.0
0,7,5.0
92,42,5.0
287,55,4.0
19,3,4.0
3,2,2.0
3,3,2.0
99,53,3.0
60,79,5.0
20,0,4.0
66,71,5.0
91,55,5.0
140,113,5.0
167,52,5.0
95,41,3.0
162,53,4.0
98,45,2.0
154,58,4.0
11,5,2.0
242,7,1.0
97,56,4.0
293,72,5.0
288,6,3.0
229,52,3.0
23,3,2.0
37,35,4.0
70,55,1.0
37,46,3.0
293,92,4.0
2,0,1.0
158,71,2.0
127,2,5.0
11,7,4.0
46,56,3.0
279,45,4.0
23,0,3.0
201,174,1.0
282,229,1.0
3,3,4.0
293,42,2.0
194,140,5.0
10,0,5.0
116,70,4.0
8,6,3.0
202,6,2.0
23,5,1.0
233,55,3.0
77,7,4.0
1,1,1.0
286,41,4.0
32,4,5.0
107,6,5.0
126,68,4.0
142,64,4.0
23,2,3.0
270,6,5.0
221,41,3.0
295,52,4.0
79,55,4.0
293,57,4.0
8,4,4.0
6,3,2.0
242,2,1.0
29,15,5.0
241,6,3.0
286,55,3.0
283,41,3.0
91,59,4.0
239,41,3.0
184,2,3.0
111,54,4.0
179,128,4.0
6,1,1.0
183,52,5.0
15,7,4.0
0,5,3.0
153,48,3.0
11,2,4.0
46,57,4.0
10,7,4.0
282,224,2.0
171,7,1.0
0,5,3.0
323,41,4.0
112,74,3.0
90,69,3.0
230,52,5.0
201,41,5.0
81,94,4.0
15,7,5.0
268,45,5.0
240,41,2.0
8,1,1.0
102,79,4.0
16,1,3.0
23,0,3.0
201,145,3.0
293,55,5.0
19,3,5.0
18,5,3.0
23,0,3.0
248,113,5.0
0,3,3.0
103,41,4.0
0,4,4.0
210,6,3.0
119,13,4.0
103,6,3.0
62,6,5.0
278,52,3.0
282,225,2.0
293,63,4.0
67,67,5.0
268,205,3.0
317,2,3.0
6,4,4.0
177,45,1.0
0,3,2.0
204,42,1.0
201,152,3.0
293,41,4.0
270,210,5.0
291,41,1.0
0,5,2.0
22,2,4.0
181,131,4.0
312,6,4.0
22,5,4.0
302,52,5.0
69,82,5.0
111,45,4.0
243,2,2.0
77,41,3.0
169,42,2.0
201,162,3.0
82,18,3.0
123,103,5.0
275,52,4.0
187,55,3.0
204,2,1.0
213,45,5.0
25,6,4.0
21,5,1.0
70,2,2.0
112,54,4.0
92,55,4.0
96,42,4.0
3,2,3.0
283,6,1.0
153,104,5.0
23,3,2.0
201,158,3.0
290,41,3.0
126,105,4.0
117,42,4.0
197,7,2.0
293,202,4.0
0,6,4.0
307,54,4.0
8,4,3.0
112,58,4.0
22,5,5.0
0,2,5.0
80,50,1.0
30,6,5.0
309,52,1.0
154,55,4.0
23,5,3.0
123,74,3.0
23,0,4.0
29,16,5.0
6,6,1.0
7,7,1.0
222,42,1.0
6,3,1.0
202,7,3.0
115,45,2.0
223,45,5.0
230,6,5.0
23,6,3.0
177,7,2.0
137,7,4.0
268,194,2.0
98,42,2.0
169,41,3.0
123,7,4.0
279,52,4.0
63,35,4.0
75,42,3.0
15,0,2.0
8,6,1.0
240,52,4.0
227,55,5.0
6,2,2.0
13,4,2.0
175,41,3.0
9,6,4.0
151,119,5.0
205,42,3.0
263,52,4.0
290,6,4.0
317,42,1.0
277,42,1.0
180,41,3.0
68,108,4.0
23,5,2.0
87,66,3.0
204,7,1.0
23,7,4.0
64,34,2.0
179,38,5.0
2,3,1.0
23,2,5.0
215,52,3.0
23,0,4.0
86,55,4.0
142,9,4.0
98,38,4.0
117,41,3.0
23,1,3.0
289,55,4.0
45,34,5.0
0,5,1.0
11,1,2.0
81,7,4.0
109,54,4.0
3,2,3.0
93,64,4.0
60,67,5.0
146,7,2.0
179,129,4.0
295,67,4.0
95,72,5.0
280,45,5.0
141,7,4.0
307,89,5.0
0,1,3.0
73,53,4.0
15,0,2.0
250,55,3.0
18,5,1.0
27,13,5.0
38,54,2.0
3,7,4.0
6,6,4.0
23,5,2.0
184,41,5.0
149,7,4.0
139,55,4.0
278,6,3.0
65,79,4.0
239,6,4.0
19,1,3.0
127,55,5.0
295,45,3.0
98,41,3.0
6,0,3.0
206,41,3.0
0,2,5.0
0,1,2.0
243,41,4.0
156,42,3.0
268,192,4.0
321,34,2.0
29,19,4.0
52,65,4.0
111,2,3.0
6,7,2.0
0,0,3.0
179,130,5.0
148,60,4.0
6,4,2.0
149,55,3.0
0,0,3.0
205,41,1.0
274,52,3.0
13,0,4.0
119,36,5.0
170,36,3.0
254,6,3.0
255,41,4.0
23,3,2.0
66,41,4.0
270,216,4.0
18,4,5.0
6,4,4.0
271,45,4.0
287,52,3.0
247,6,2.0
290,6,4.0
22,6,2.0
54,60,5.0
121,68,4.0
3,7,4.0
7,3,1.0
253,55,4.0
133,74,5.0
46,70,4.0
238,45,2.0
79,74,4.0
105,6,4.0
6,4,3.0
264,7,3.0
201,99,5.0
317,52,1.0
265,7,3.0
110,18,5.0
303,45,5.0
34,6,5.0
0,0,3.0
0,0,4.0
171,46,5.0
0,2,4.0
16,1,5.0
150,18,4.0
76,84,2.0
68,6,4.0
307,55,5.0
281,55,2.0
270,7,4.0
7,1,2.0
82,55,4.0
218,7,4.0
116,26,3.0
122,7,1.0
259,45,1.0
126,57,4.0
32,7,5.0
272,7,1.0
6,7,3.0
90,42,3.0
259,2,5.0
24,8,4.0
98,52,3.0
119,44,3.0
101,42,3.0
96,7,4.0
134,52,5.0
121,42,5.0
18,3,3.0
0,4,4.0
232,6,4.0
145,78,5.0
0,2,5.0
9,7,1.0
225,7,5.0
0,2,5.0
231,55,4.0
216,52,4.0
267,7,4.0
23,2,5.0
32,43,5.0
131,55,2.0
148,58,5.0
91,67,5.0
305,41,1.0
234,52,5.0
174,6,5.0
307,45,3.0
234,55,5.0
201,147,3.0
100,35,3.0
171,55,5.0
235,42,5.0
6,7,1.0
1,2,4.0
107,67,4.0
157,41,5.0
23,3,1.0
241,41,1.0
57,46,4.0
201,182,4.0
308,55,4.0
0,1,2.0
173,6,4.0
100,70,3.0
41,34,4.0
87,95,3.0
152,42,5.0
10,7,4.0
269,41,4.0
310,7,3.0
289,41,4.0
173,42,5.0
180,7,3.0
89,6,3.0
78,74,2.0
8,0,1.0
271,42,3.0
20,0,3.0
114,53,1.0
195,2,4.0
105,55,4.0
275,42,2.0
90,7,1.0
157,61,4.0
33,46,5.0
119,55,5.0
169,55,4.0
201,43,5.0
0,0,2.0
43,67,3.0
19,4,2.0
8,3,4.0
0,7,4.0
1,0,3.0
23,2,4.0
119,35,4.0
6,4,4.0
280,52,4.0
18,7,3.0
23,3,1.0
0,1,3.0
14,6,5.0
17,6,2.0
122,2,5.0
230,45,5.0
281,41,3.0
247,7,2.0
20,7,3.0
267,104,5.0
136,6,3.0
0,7,4.0
102,37,4.0
32,34,4.0
23,5,2.0
193,139,4.0
318,55,4.0
32,39,5.0
141,36,5.0
62,80,5.0
248,103,4.0
220,6,5.0
24,2,5.0
68,85,4.0
8,4,4.0
31,17,4.0
200,7,4.0
6,7,4.0
76,61,3.0
300,7,1.0
5,4,4.0
221,52,4.0
105,45,4.0
113,41,4.0
8,3,4.0
255,42,5.0
46,69,4.0
0,0,2.0
94,67,4.0
0,1,3.0
41,58,4.0
171,6,5.0
6,0,1.0
315,2,5.0
205,45,1.0
118,9,3.0
21,4,5.0
83,59,4.0
297,6,3.0
22,2,1.0
6,3,1.0
130,34,4.0
23,7,3.0
75,6,4.0
153,74,5.0
238,55,4.0
9,6,5.0
270,151,5.0
11,6,5.0
201,166,3.0
185,135,5.0
23,6,3.0
11,5,1.0
88,48,4.0
99,49,5.0
201,171,3.0
267,45,4.0
201,178,1.0
23,2,5.0
307,42,4.0
228,55,3.0
0,0,4.0
232,55,5.0
226,55,5.0
298,52,4.0
127,84,3.0
245,191,5.0
134,55,5.0
162,42,3.0
288,55,5.0
0,0,3.0
223,42,4.0
309,6,4.0
101,58,4.0
20,7,3.0
85,54,5.0
23,0,4.0
0,0,4.0
89,66,3.0
185,134,5.0
0,0,3.0
214,55,5.0
105,41,3.0
18,5,2.0
270,211,4.0
10,0,3.0
131,41,3.0
0,2,4.0
18,7,2.0
42,62,3.0
284,7,4.0
6,6,2.0
23,3,2.0
245,54,4.0
301,42,4.0
6,6,5.0
0,1,3.0
23,2,4.0
153,58,4.0
230,41,5.0
18,6,5.0
122,42,3.0
2,0,1.0
6,7,1.0
256,100,5.0
4,3,1.0
270,212,5.0
213,6,3.0
30,26,4.0
70,41,2.0
81,92,4.0
137,42,3.0
236,41,4.0
103,55,3.0
0,4,3.0
284,6,3.0
83,58,3.0
0,0,3.0
296,2,3.0
263,6,5.0
8,5,1.0
310,45,5.0
6,4,5.0
224,55,5.0
277,41,3.0
0,4,2.0
71,75,3.0
239,7,1.0
251,34,4.0
3,0,2.0
10,7,4.0
23,1,3.0
8,0,5.0
19,4,1.0
222,45,1.0
238,7,4.0
131,53,2.0
3,0,3.0
0,2,5.0
3,7,4.0
62,52,5.0
137,74,5.0
8,7,3.0
7,5,1.0
0,5,3.0
298,55,3.0
8,0,5.0
2,4,5.0
6,3,2.0
201,7,1.0
